name,url,country,region,coordinates,caption,longitude,latitude
L’Anse aux Meadows National Historic Site,http://whc.unesco.org/en/list/4,Canada,Province of Newfoundland and Labrador,N51 28 0 W55 37 0,"At the tip of the Great Northern Peninsula of the island of Newfoundland, the remains of an 11th-century Viking settlement are evidence of the first European presence in North America. The excavated remains of wood-framed peat-turf buildings are similar to those found in Norse Greenland and Iceland.",-54.38333333333333,51.46666666666667
City of Quito,http://whc.unesco.org/en/list/2,Ecuador,"Province of Pinchinada, City and Canton of Quito",N0 0 14 W78 30 0,"Quito, the capital of Ecuador, was founded in the 16th century on the ruins of an Inca city and stands at an altitude of 2,850 m. Despite the 1917 earthquake, the city has the best-preserved, least altered historic centre in Latin America. The monasteries of San Francisco and Santo Domingo, and the Church and Jesuit College of La Compañía, with their rich interiors, are pure examples of the 'Baroque school of Quito', which is a fusion of Spanish, Italian, Moorish, Flemish and indigenous art.",-77.5,0.0038888888888888888
Ichkeul National Park,http://whc.unesco.org/en/list/8,Tunisia,"Bizerta District, 25 km southwest of Bizerta",N37 9 48.996 E9 40 28.992,"The Ichkeul lake and wetland are a major stopover point for hundreds of thousands of migrating birds, such as ducks, geese, storks and pink flamingoes, who come to feed and nest there. Ichkeul is the last remaining lake in a chain that once extended across North Africa.",9.67472,37.16361
Aachen Cathedral ,http://whc.unesco.org/en/list/3,Germany,State of North Rhine-Westphalia (Nordrhein-Westfalen),N50 46 28 E6 5 4,"Construction of this palatine chapel, with its octagonal basilica and cupola, began c. 790–800 under the Emperor Charlemagne. Originally inspired by the churches of the Eastern part of the Holy Roman Empire, it was splendidly enlarged in the Middle Ages.",6.084444444444444,50.77444444444444
Galápagos Islands,http://whc.unesco.org/en/list/1,Ecuador,"Cantons: San Cristobal, Santa Cruz and Isabela, Province of Galapagos",N0 49 0.012 W91 0 0,"Situated in the Pacific Ocean some 1,000 km from the South American continent, these 19 islands and the surrounding marine reserve have been called a unique ‘living museum and showcase of evolution’. Located at the confluence of three ocean currents, the Galápagos are a ‘melting pot’ of marine species. Ongoing seismic and volcanic activity reflects the processes that formed the islands. These processes, together with the extreme isolation of the islands, led to the development of unusual animal life – such as the land iguana, the giant tortoise and the many types of finch – that inspired Charles Darwin’s theory of evolution by natural selection following his visit in 1835.",-91.0,0.81667
Simien National Park,http://whc.unesco.org/en/list/9,Ethiopia,Gondar Region,N13 10 60 E38 4 0,"Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world.",38.06666666666667,13.183333333333334
Lower Valley of the Awash,http://whc.unesco.org/en/list/10,Ethiopia,Afar region,N11 6 0.216 E40 34 45.804,"The Awash valley contains one of the most important groupings of palaeontological sites on the African continent. The remains found at the site, the oldest of which date back at least 4 million years, provide evidence of human evolution which has modified our conception of the history of humankind. The most spectacular discovery came in 1974, when 52 fragments of a skeleton enabled the famous Lucy to be reconstructed.",40.57939,11.10006
Tiya,http://whc.unesco.org/en/list/12,Ethiopia,"Sodo woreda, Gurage zone, Southern Nation Nationalities & Peoples Region",N8 26 5.676 E38 36 43.56,"Tiya is among the most important of the roughly 160 archaeological sites discovered so far in the Soddo region, south of Addis Ababa. The site contains 36 monuments, including 32 carved stelae covered with symbols, most of which are difficult to decipher. They are the remains of an ancient Ethiopian culture whose age has not yet been precisely determined.",38.6121,8.43491
Aksum,http://whc.unesco.org/en/list/15,Ethiopia,Tigrai Region,N14 7 48.684 E38 43 6.996,"The ruins of the ancient city of Aksum are found close to Ethiopia's northern border. They mark the location of the heart of ancient Ethiopia, when the Kingdom of Aksum was the most powerful state between the Eastern Roman Empire and Persia. The massive ruins, dating from between the 1st and the 13th century A.D., include monolithic obelisks, giant stelae, royal tombs and the ruins of ancient castles. Long after its political decline in the 10th century, Ethiopian emperors continued to be crowned in Aksum.",38.71861,14.13019
"Rock-Hewn Churches, Lalibela",http://whc.unesco.org/en/list/18,Ethiopia,Amhara Region,N12 1 45.66 E39 2 25.512,"The 11 medieval monolithic cave churches of this 13th-century 'New Jerusalem' are situated in a mountainous region in the heart of Ethiopia near a traditional village with circular-shaped dwellings. Lalibela is a high place of Ethiopian Christianity, still today a place of pilmigrage and devotion.",39.04042,12.02935
